Clicks	MAP@1	MAP@10	MAP@5	MAP@50	NDCG	Precision@1	Precision@10	Precision@5	Precision@50	R-Precision	Recall@1	Recall@10	Recall@5	Recall@50	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	latent	active_learning_iteration	iterative	sample_all
(0.24236220472440945, 0.041294982284307065)	(0.45354330708661417, 0.038721882670967114)	(0.3621583552055993, 0.01793685315914246)	(0.40607349081364824, 0.022828077796189904)	(0.25164748144929955, 0.009405820428501516)	(0.17185693508403826, 0.005706889047931068)	(0.45354330708661417, 0.038721882670967114)	(0.29874015748031496, 0.013713390180734655)	(0.3562204724409449, 0.018504999571477446)	(0.1853543307086614, 0.0060240360622906665)	(0.13016352723205302, 0.004287998877494103)	(0.006441292799174751, 0.0006102672169272171)	(0.04260478689010957, 0.0020946622870998636)	(0.025580228557496906, 0.0014528530417799949)	(0.13242792951167223, 0.004449237656108628)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.23433070866141734, 0.037217910732791994)	(0.47716535433070867, 0.03884953630023169)	(0.37057092863392077, 0.018384446992640965)	(0.41753805774278213, 0.02356478169573107)	(0.25411314721461065, 0.00947344697800767)	(0.1737249954578559, 0.005765288698170761)	(0.47716535433070867, 0.03884953630023169)	(0.3011023622047244, 0.013772397850953199)	(0.3678740157480315, 0.019360879340695424)	(0.18658267716535434, 0.006006208891413134)	(0.1314013287479716, 0.004295991537569594)	(0.006780814741706082, 0.0006161185205400023)	(0.04315160789785912, 0.0021100484971173163)	(0.02631188238391617, 0.0014987062472082788)	(0.13313439887361256, 0.0044160405198698455)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.22913385826771654, 0.03721783817034741)	(0.47716535433070867, 0.03884953630023169)	(0.3670481814773153, 0.01809639638152261)	(0.41335433070866134, 0.022959785457448097)	(0.25365354298428777, 0.009446949607834081)	(0.17359278968079836, 0.00574797927278496)	(0.47716535433070867, 0.03884953630023169)	(0.2993700787401575, 0.0136230394284146)	(0.36125984251968507, 0.018857922371284738)	(0.18677165354330708, 0.005997952858802243)	(0.1310593217864096, 0.004297330511245612)	(0.006824528727234859, 0.0006157137540785204)	(0.04269666211542718, 0.002068428348533007)	(0.025774240800053635, 0.001442659911678647)	(0.13334617049142064, 0.004458842857756632)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.21385826771653546, 0.034195735622780436)	(0.46771653543307085, 0.03880896478218913)	(0.37286876640419947, 0.01818102516904659)	(0.421007874015748, 0.023074302923846764)	(0.25497518362884297, 0.00954288008898384)	(0.17407306992708618, 0.005782684559154317)	(0.46771653543307085, 0.03880896478218913)	(0.30251968503937005, 0.01396704628962332)	(0.36724409448818895, 0.019216169424066523)	(0.18658267716535434, 0.0060036703980745135)	(0.13132088969910655, 0.004295300820735242)	(0.006691469846708999, 0.0006177299196138153)	(0.04345883923784084, 0.002160131451826619)	(0.026325625882641625, 0.0014896539025593492)	(0.13312803783045707, 0.0044575954825586345)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.2258267716535433, 0.037691646631109396)	(0.48661417322834644, 0.03887617452939366)	(0.369856767904012, 0.018119661127400554)	(0.4184724409448819, 0.02290301375102591)	(0.25357724732625647, 0.009387934880907113)	(0.17466997665767914, 0.005659288162968994)	(0.48661417322834644, 0.03887617452939366)	(0.3, 0.01364409157996494)	(0.3659842519685039, 0.019083479785451607)	(0.18793700787401577, 0.005983254471439892)	(0.1320366149874749, 0.004278462232693959)	(0.0069916839752280574, 0.000622561854644118)	(0.042784974978652836, 0.0020795659402506627)	(0.026167868410376535, 0.0014871491017811212)	(0.13446152856356836, 0.004437482440571085)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.23433070866141734, 0.036850035608375784)	(0.4566929133858268, 0.03874396198403922)	(0.36317004124484437, 0.017968368861273)	(0.40869291338582675, 0.02300716406247737)	(0.25270834817759513, 0.009432724339261343)	(0.17297816223682153, 0.00565309711226453)	(0.4566929133858268, 0.03874396198403922)	(0.2968503937007874, 0.01365585254562763)	(0.3615748031496063, 0.01856654876198839)	(0.18711811023622046, 0.006021845931567175)	(0.1308529354626278, 0.004205479550371285)	(0.0065055697111479965, 0.0006125953539257334)	(0.042425668634282696, 0.002069340597465426)	(0.025937544099806358, 0.0014351605395867362)	(0.13342986593443862, 0.004405856473478671)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.21748031496062994, 0.03463560285413965)	(0.4692913385826772, 0.03881669595975939)	(0.373997250343707, 0.018225712768383306)	(0.4223517060367454, 0.02310696702377885)	(0.25680867218474046, 0.009596757308044079)	(0.17520643200856878, 0.005757531746098994)	(0.4692913385826772, 0.03881669595975939)	(0.30220472440944884, 0.013857802288443466)	(0.3681889763779528, 0.019156268939593515)	(0.18840944881889765, 0.006104549995623198)	(0.13225173074564514, 0.0042250526670516595)	(0.006702896105959323, 0.0006155815976578231)	(0.04310640995082818, 0.0021008980440555907)	(0.026333924109542283, 0.0014942349501906296)	(0.13423986685879252, 0.004360084351040584)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.231496062992126, 0.03852832419291343)	(0.4519685039370079, 0.03871025692156198)	(0.37203505811773524, 0.018341718743673668)	(0.41850918635170603, 0.02349070208595488)	(0.25540696796346163, 0.009488319830925875)	(0.17432719168471322, 0.005696706711840372)	(0.4519685039370079, 0.03871025692156198)	(0.3006299212598425, 0.013699751253949873)	(0.375748031496063, 0.019123690893909157)	(0.18730708661417322, 0.005940826367791936)	(0.13124070967447793, 0.004190972867181366)	(0.0065272747885068375, 0.0006188967356356509)	(0.043146851690528294, 0.0021318604489741237)	(0.026808636738458413, 0.0014872188277759747)	(0.1338285493959701, 0.004417018150988566)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.23937007874015748, 0.03890796208542358)	(0.4409448818897638, 0.038617901956263766)	(0.3625297462817148, 0.018034360141106272)	(0.40598425196850396, 0.023115027281609583)	(0.24999584769331815, 0.009419826535096935)	(0.17038325832286394, 0.005700791500774183)	(0.4409448818897638, 0.038617901956263766)	(0.29811023622047245, 0.013439265664139307)	(0.3637795275590551, 0.01862406035035352)	(0.18406299212598423, 0.006048753837208396)	(0.12907743846538688, 0.004253495458455537)	(0.006298587025420203, 0.000610790856999777)	(0.04272448296058703, 0.002069448792052733)	(0.02600524290917528, 0.0014249907086140566)	(0.13098324605433054, 0.004375457623748565)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
(0.25181102362204727, 0.04065498766499382)	(0.4409448818897638, 0.038617901956263766)	(0.3535015623047119, 0.01810559705062971)	(0.3955380577427821, 0.023164760512321098)	(0.24945847430231846, 0.00947522326878332)	(0.16960594590474928, 0.0056985555741875735)	(0.4409448818897638, 0.038617901956263766)	(0.29228346456692916, 0.013641364226474445)	(0.3480314960629921, 0.01866445739177257)	(0.1838425196850394, 0.005982161069937887)	(0.12887089645948832, 0.004184522506670714)	(0.006276566989281274, 0.0006085382488958154)	(0.041743835853692575, 0.002063330216683873)	(0.02485381796988442, 0.0014171635242326212)	(0.13084200300198992, 0.0043142859874094235)	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	True	50	True	True
