model,rank,lambda,epoch,optimizer,NDCG,R-Precision
CDAE,200,1e-05,19,RMSProp,0.1222,0.0743
CDAE,200,1e-05,39,RMSProp,0.1262,0.0766
CDAE,200,1e-05,59,RMSProp,0.1356,0.0826
CDAE,200,1e-05,79,RMSProp,0.1428,0.0874
CDAE,200,1e-05,99,RMSProp,0.1454,0.0881
CDAE,200,1e-05,119,RMSProp,0.1492,0.0905
CDAE,200,1e-05,139,RMSProp,0.1526,0.092
CDAE,200,1e-05,159,RMSProp,0.1546,0.0932
CDAE,200,1e-05,179,RMSProp,0.156,0.0935
CDAE,200,1e-05,199,RMSProp,0.1571,0.0943
CDAE,200,1e-05,219,RMSProp,0.1577,0.0942
CDAE,200,1e-05,239,RMSProp,0.1579,0.0938
CDAE,200,1e-05,259,RMSProp,0.1586,0.0943
CDAE,200,1e-05,279,RMSProp,0.1586,0.0942
CDAE,200,1e-05,299,RMSProp,0.1588,0.0942
CDAE,200,1e-05,319,RMSProp,0.159,0.0943
CDAE,200,1e-05,339,RMSProp,0.1591,0.0943
CDAE,200,1e-05,359,RMSProp,0.1592,0.0942
CDAE,200,1e-05,379,RMSProp,0.1596,0.0945
CDAE,200,1e-05,399,RMSProp,0.1601,0.0948
CDAE,200,1e-05,419,RMSProp,0.1602,0.0944
CDAE,200,1e-05,439,RMSProp,0.1606,0.0947
CDAE,200,1e-05,459,RMSProp,0.1606,0.0946
CDAE,200,1e-05,479,RMSProp,0.1611,0.0947
CDAE,200,1e-05,499,RMSProp,0.1608,0.0946
CDAE,200,1e-05,519,RMSProp,0.1615,0.0951
CDAE,200,1e-05,539,RMSProp,0.1613,0.0948
CDAE,200,1e-05,559,RMSProp,0.1616,0.0951
CDAE,200,1e-05,579,RMSProp,0.1617,0.095
CDAE,200,1e-05,599,RMSProp,0.1618,0.0952
CDAE,200,1e-05,619,RMSProp,0.1621,0.0954
CDAE,200,1e-05,639,RMSProp,0.1623,0.0954
CDAE,200,1e-05,659,RMSProp,0.1623,0.0956
CDAE,200,1e-05,679,RMSProp,0.1624,0.0957
CDAE,200,1e-05,699,RMSProp,0.1625,0.0956
CDAE,200,1e-05,719,RMSProp,0.1623,0.0953
CDAE,200,1e-05,739,RMSProp,0.1622,0.0955
CDAE,200,1e-05,759,RMSProp,0.1623,0.0954
CDAE,200,1e-05,779,RMSProp,0.1622,0.0952
CDAE,200,1e-05,799,RMSProp,0.1625,0.0953
CDAE,200,1e-05,819,RMSProp,0.1625,0.0951
CDAE,200,1e-05,839,RMSProp,0.1626,0.0954
CDAE,200,1e-05,859,RMSProp,0.1624,0.0952
CDAE,200,1e-05,879,RMSProp,0.163,0.0958
CDAE,200,1e-05,899,RMSProp,0.1626,0.0955
CDAE,200,1e-05,919,RMSProp,0.1626,0.0953
CDAE,200,1e-05,939,RMSProp,0.1625,0.0953
CDAE,200,1e-05,959,RMSProp,0.1626,0.0954
CDAE,200,1e-05,979,RMSProp,0.1626,0.0955
CDAE,200,1e-05,999,RMSProp,0.163,0.0954
VAE-CF,200,1e-05,19,RMSProp,0.1447,0.0879
VAE-CF,200,1e-05,39,RMSProp,0.155,0.0926
VAE-CF,200,1e-05,59,RMSProp,0.1578,0.0916
VAE-CF,200,1e-05,79,RMSProp,0.1595,0.0917
VAE-CF,200,1e-05,99,RMSProp,0.1623,0.092
VAE-CF,200,1e-05,119,RMSProp,0.1634,0.0918
VAE-CF,200,1e-05,139,RMSProp,0.1642,0.0914
VAE-CF,200,1e-05,159,RMSProp,0.1643,0.0911
VAE-CF,200,1e-05,179,RMSProp,0.1638,0.0897
VAE-CF,200,1e-05,199,RMSProp,0.1643,0.0897
VAE-CF,200,1e-05,219,RMSProp,0.1638,0.0893
VAE-CF,200,1e-05,239,RMSProp,0.1637,0.0891
VAE-CF,200,1e-05,259,RMSProp,0.1635,0.089
VAE-CF,200,1e-05,279,RMSProp,0.1632,0.0892
VAE-CF,200,1e-05,299,RMSProp,0.1631,0.089
VAE-CF,200,1e-05,319,RMSProp,0.163,0.089
VAE-CF,200,1e-05,339,RMSProp,0.1631,0.0889
VAE-CF,200,1e-05,359,RMSProp,0.1628,0.0886
VAE-CF,200,1e-05,379,RMSProp,0.1625,0.0886
VAE-CF,200,1e-05,399,RMSProp,0.1626,0.0883
VAE-CF,200,1e-05,419,RMSProp,0.1626,0.0881
VAE-CF,200,1e-05,439,RMSProp,0.1626,0.0887
VAE-CF,200,1e-05,459,RMSProp,0.1628,0.0887
VAE-CF,200,1e-05,479,RMSProp,0.1627,0.0884
VAE-CF,200,1e-05,499,RMSProp,0.1625,0.0882
VAE-CF,200,1e-05,519,RMSProp,0.1628,0.0888
VAE-CF,200,1e-05,539,RMSProp,0.1625,0.0885
VAE-CF,200,1e-05,559,RMSProp,0.1626,0.0886
VAE-CF,200,1e-05,579,RMSProp,0.163,0.0887
VAE-CF,200,1e-05,599,RMSProp,0.163,0.0889
VAE-CF,200,1e-05,619,RMSProp,0.1626,0.0888
VAE-CF,200,1e-05,639,RMSProp,0.1628,0.0886
VAE-CF,200,1e-05,659,RMSProp,0.163,0.0889
VAE-CF,200,1e-05,679,RMSProp,0.163,0.0892
VAE-CF,200,1e-05,699,RMSProp,0.1626,0.089
VAE-CF,200,1e-05,719,RMSProp,0.1632,0.089
VAE-CF,200,1e-05,739,RMSProp,0.1628,0.0887
VAE-CF,200,1e-05,759,RMSProp,0.1631,0.0889
VAE-CF,200,1e-05,779,RMSProp,0.1632,0.0892
VAE-CF,200,1e-05,799,RMSProp,0.163,0.0891
VAE-CF,200,1e-05,819,RMSProp,0.1628,0.0888
VAE-CF,200,1e-05,839,RMSProp,0.1632,0.0888
VAE-CF,200,1e-05,859,RMSProp,0.1631,0.0891
VAE-CF,200,1e-05,879,RMSProp,0.1633,0.0895
VAE-CF,200,1e-05,899,RMSProp,0.1632,0.0893
VAE-CF,200,1e-05,919,RMSProp,0.1633,0.0893
VAE-CF,200,1e-05,939,RMSProp,0.1632,0.0893
VAE-CF,200,1e-05,959,RMSProp,0.1632,0.0895
VAE-CF,200,1e-05,979,RMSProp,0.1631,0.0897
VAE-CF,200,1e-05,999,RMSProp,0.163,0.0893
IFVAE,50,0.0001,19,RMSProp,0.135,0.0804
IFVAE,50,0.0001,39,RMSProp,0.1485,0.0885
IFVAE,50,0.0001,59,RMSProp,0.1551,0.0911
IFVAE,50,0.0001,79,RMSProp,0.1608,0.0921
IFVAE,50,0.0001,99,RMSProp,0.1643,0.0945
IFVAE,50,0.0001,119,RMSProp,0.1669,0.0959
IFVAE,50,0.0001,139,RMSProp,0.1679,0.0961
IFVAE,50,0.0001,159,RMSProp,0.1688,0.0969
IFVAE,50,0.0001,179,RMSProp,0.1689,0.0969
IFVAE,50,0.0001,199,RMSProp,0.1693,0.0969
IFVAE,50,0.0001,219,RMSProp,0.1704,0.0972
IFVAE,50,0.0001,239,RMSProp,0.1701,0.0967
IFVAE,50,0.0001,259,RMSProp,0.1704,0.0965
IFVAE,50,0.0001,279,RMSProp,0.1704,0.097
IFVAE,50,0.0001,299,RMSProp,0.1699,0.0967
IFVAE,50,0.0001,319,RMSProp,0.1695,0.0957
IFVAE,50,0.0001,339,RMSProp,0.1694,0.0961
IFVAE,50,0.0001,359,RMSProp,0.169,0.0965
IFVAE,50,0.0001,379,RMSProp,0.1693,0.0964
IFVAE,50,0.0001,399,RMSProp,0.1692,0.0962
IFVAE,50,0.0001,419,RMSProp,0.1696,0.0962
IFVAE,50,0.0001,439,RMSProp,0.1694,0.0966
IFVAE,50,0.0001,459,RMSProp,0.1688,0.0968
IFVAE,50,0.0001,479,RMSProp,0.1688,0.0959
IFVAE,50,0.0001,499,RMSProp,0.1679,0.0956
IFVAE,50,0.0001,519,RMSProp,0.1681,0.0964
IFVAE,50,0.0001,539,RMSProp,0.168,0.0958
IFVAE,50,0.0001,559,RMSProp,0.1677,0.0953
IFVAE,50,0.0001,579,RMSProp,0.1686,0.0956
