,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda
0,VAE-CF,50,1,,,"[0.1627, 0.0036]","[0.0828, 0.0028]","[0.0806, 0.0024]","[0.0779, 0.0022]","[0.087, 0.0036]","[0.0677, 0.0015]","[0.0813, 0.0026]","[0.0715, 0.003]","[0.1007, 0.0036]","[0.1279, 0.004]","[0.0395, 0.0022]","[0.2617, 0.0057]",1e-05
1,VAE-CF,50,1,,,"[0.1619, 0.0036]","[0.0822, 0.0028]","[0.0796, 0.0024]","[0.0775, 0.0021]","[0.088, 0.0037]","[0.0678, 0.0015]","[0.0814, 0.0026]","[0.0713, 0.0029]","[0.0997, 0.0036]","[0.1272, 0.004]","[0.0395, 0.0022]","[0.2609, 0.0057]",0.0001
2,VAE-CF,50,1,,,"[0.1627, 0.0036]","[0.084, 0.0028]","[0.0802, 0.0024]","[0.0783, 0.0022]","[0.0874, 0.0037]","[0.0683, 0.0015]","[0.0818, 0.0026]","[0.0717, 0.003]","[0.0993, 0.0035]","[0.1276, 0.004]","[0.0394, 0.0022]","[0.2608, 0.0057]",0.001
3,VAE-CF,100,1,,,"[0.1659, 0.0036]","[0.0821, 0.0027]","[0.0797, 0.0023]","[0.0778, 0.0021]","[0.0836, 0.0035]","[0.0679, 0.0015]","[0.0824, 0.0026]","[0.0738, 0.003]","[0.1039, 0.0037]","[0.1324, 0.0041]","[0.0403, 0.0023]","[0.2701, 0.0058]",1e-05
4,VAE-CF,100,1,,,"[0.1665, 0.0037]","[0.0817, 0.0027]","[0.0788, 0.0023]","[0.0774, 0.0021]","[0.085, 0.0036]","[0.0683, 0.0015]","[0.0823, 0.0026]","[0.0744, 0.0031]","[0.1039, 0.0037]","[0.1331, 0.0042]","[0.0409, 0.0023]","[0.2712, 0.0059]",0.0001
5,VAE-CF,100,1,,,"[0.1653, 0.0037]","[0.082, 0.0027]","[0.079, 0.0023]","[0.0774, 0.0021]","[0.085, 0.0036]","[0.0681, 0.0015]","[0.0823, 0.0027]","[0.0731, 0.003]","[0.1023, 0.0037]","[0.1313, 0.0041]","[0.0404, 0.0023]","[0.2682, 0.0058]",0.001
6,AutoRec,50,1,,,"[0.17, 0.0037]","[0.092, 0.003]","[0.0878, 0.0026]","[0.0844, 0.0023]","[0.0965, 0.0039]","[0.0716, 0.0016]","[0.0886, 0.0027]","[0.0774, 0.0031]","[0.1075, 0.0037]","[0.1346, 0.0041]","[0.0434, 0.0023]","[0.2671, 0.0057]",1e-05
7,AutoRec,50,1,,,"[0.1482, 0.0035]","[0.0885, 0.0032]","[0.0837, 0.0027]","[0.0803, 0.0024]","[0.0939, 0.0041]","[0.067, 0.0017]","[0.0804, 0.0026]","[0.0641, 0.0027]","[0.0881, 0.0032]","[0.1105, 0.0036]","[0.0361, 0.002]","[0.2229, 0.005]",0.0001
8,AutoRec,50,1,,,"[0.1287, 0.0033]","[0.0823, 0.0033]","[0.0788, 0.0028]","[0.0757, 0.0025]","[0.0873, 0.0041]","[0.0609, 0.0018]","[0.0698, 0.0025]","[0.0521, 0.0024]","[0.0761, 0.003]","[0.0973, 0.0035]","[0.0285, 0.0018]","[0.1911, 0.0048]",0.001
9,AutoRec,100,1,,,"[0.1719, 0.0037]","[0.0916, 0.0029]","[0.0881, 0.0025]","[0.0841, 0.0023]","[0.0964, 0.0038]","[0.0708, 0.0016]","[0.0889, 0.0027]","[0.0804, 0.0032]","[0.1128, 0.0038]","[0.1399, 0.0043]","[0.0448, 0.0024]","[0.2716, 0.0058]",1e-05
