,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
0,IFVAE,50,0.0001,9,RMSProp,0.1283,0.0768
1,IFVAE,50,0.0001,19,RMSProp,0.1397,0.0848
2,IFVAE,50,0.0001,29,RMSProp,0.146,0.0877
3,IFVAE,50,0.0001,39,RMSProp,0.1496,0.0893
4,IFVAE,50,0.0001,49,RMSProp,0.1525,0.0907
5,IFVAE,50,0.0001,59,RMSProp,0.1553,0.0915
6,IFVAE,50,0.0001,69,RMSProp,0.1577,0.0927
7,IFVAE,50,0.0001,79,RMSProp,0.1592,0.0934
8,IFVAE,50,0.0001,89,RMSProp,0.1599,0.0932
9,IFVAE,50,0.0001,99,RMSProp,0.1617,0.0942
10,IFVAE,50,0.0001,109,RMSProp,0.1627,0.0948
11,IFVAE,50,0.0001,119,RMSProp,0.1632,0.0945
12,IFVAE,50,0.0001,129,RMSProp,0.1641,0.0945
13,IFVAE,50,0.0001,139,RMSProp,0.1651,0.0955
14,IFVAE,50,0.0001,149,RMSProp,0.1658,0.0953
15,IFVAE,50,0.0001,159,RMSProp,0.166,0.0955
16,IFVAE,50,0.0001,169,RMSProp,0.1661,0.0963
17,IFVAE,50,0.0001,179,RMSProp,0.1673,0.0964
18,IFVAE,50,0.0001,189,RMSProp,0.1683,0.0969
19,IFVAE,50,0.0001,199,RMSProp,0.1684,0.097
20,IFVAE,50,0.0001,209,RMSProp,0.1689,0.097
21,IFVAE,50,0.0001,219,RMSProp,0.1695,0.0973
22,IFVAE,50,0.0001,229,RMSProp,0.1694,0.0972
23,IFVAE,50,0.0001,239,RMSProp,0.1702,0.0979
24,IFVAE,50,0.0001,249,RMSProp,0.1703,0.0971
25,IFVAE,50,0.0001,259,RMSProp,0.1702,0.0974
26,IFVAE,50,0.0001,269,RMSProp,0.1695,0.0973
27,IFVAE,50,0.0001,279,RMSProp,0.1701,0.0974
28,IFVAE,50,0.0001,289,RMSProp,0.1705,0.0976
29,IFVAE,50,0.0001,299,RMSProp,0.1699,0.0974
30,IFVAE,50,0.0001,9,Adam,0.1341,0.0809
31,IFVAE,50,0.0001,19,Adam,0.1427,0.0859
32,IFVAE,50,0.0001,29,Adam,0.1476,0.0892
33,IFVAE,50,0.0001,39,Adam,0.1508,0.0893
34,IFVAE,50,0.0001,49,Adam,0.153,0.0904
35,IFVAE,50,0.0001,59,Adam,0.155,0.0908
36,IFVAE,50,0.0001,69,Adam,0.1562,0.0911
37,IFVAE,50,0.0001,79,Adam,0.1577,0.0916
38,IFVAE,50,0.0001,89,Adam,0.1584,0.0916
39,IFVAE,50,0.0001,99,Adam,0.1604,0.0928
40,IFVAE,50,0.0001,109,Adam,0.1613,0.0928
41,IFVAE,50,0.0001,119,Adam,0.1627,0.0934
42,IFVAE,50,0.0001,129,Adam,0.1635,0.0935
43,IFVAE,50,0.0001,139,Adam,0.1647,0.0943
44,IFVAE,50,0.0001,149,Adam,0.1656,0.0953
45,IFVAE,50,0.0001,159,Adam,0.1655,0.095
46,IFVAE,50,0.0001,169,Adam,0.1672,0.095
47,IFVAE,50,0.0001,179,Adam,0.1676,0.0948
48,IFVAE,50,0.0001,189,Adam,0.168,0.0959
49,IFVAE,50,0.0001,199,Adam,0.1684,0.0967
50,IFVAE,50,0.0001,209,Adam,0.1686,0.0969
51,IFVAE,50,0.0001,219,Adam,0.1696,0.0963
52,IFVAE,50,0.0001,229,Adam,0.1697,0.0968
53,IFVAE,50,0.0001,239,Adam,0.1698,0.0973
54,IFVAE,50,0.0001,249,Adam,0.1702,0.0978
55,IFVAE,50,0.0001,259,Adam,0.1699,0.098
56,IFVAE,50,0.0001,269,Adam,0.1705,0.0977
57,IFVAE,50,0.0001,279,Adam,0.1706,0.0978
58,IFVAE,50,0.0001,289,Adam,0.1708,0.0984
59,IFVAE,50,0.0001,299,Adam,0.1711,0.098
60,IFVAE,50,0.0001,9,SGD,0.1226,0.0736
61,IFVAE,50,0.0001,19,SGD,0.1224,0.0736
62,IFVAE,50,0.0001,29,SGD,0.1225,0.0736
63,IFVAE,50,0.0001,39,SGD,0.1223,0.0736
64,IFVAE,50,0.0001,49,SGD,0.1224,0.0735
65,IFVAE,50,0.0001,59,SGD,0.1224,0.0736
66,IFVAE,50,0.0001,69,SGD,0.1224,0.0735
67,IFVAE,50,0.0001,79,SGD,0.1225,0.0735
68,IFVAE,50,0.0001,89,SGD,0.1225,0.0735
69,IFVAE,50,0.0001,99,SGD,0.1225,0.0735
70,IFVAE,50,0.0001,109,SGD,0.1225,0.0736
71,IFVAE,50,0.0001,119,SGD,0.1226,0.0737
72,IFVAE,50,0.0001,129,SGD,0.1226,0.0737
73,IFVAE,50,0.0001,139,SGD,0.1227,0.0737
74,IFVAE,50,0.0001,149,SGD,0.1228,0.0737
75,IFVAE,50,0.0001,159,SGD,0.1228,0.0736
76,IFVAE,50,0.0001,169,SGD,0.123,0.0736
77,IFVAE,50,0.0001,179,SGD,0.1231,0.0735
78,IFVAE,50,0.0001,189,SGD,0.1231,0.0736
79,IFVAE,50,0.0001,199,SGD,0.1232,0.0736
80,IFVAE,50,0.0001,209,SGD,0.1233,0.0736
81,IFVAE,50,0.0001,219,SGD,0.1234,0.0735
82,IFVAE,50,0.0001,229,SGD,0.1234,0.0736
83,IFVAE,50,0.0001,239,SGD,0.1235,0.0736
84,IFVAE,50,0.0001,249,SGD,0.1235,0.0736
85,IFVAE,50,0.0001,259,SGD,0.1234,0.0737
86,IFVAE,50,0.0001,269,SGD,0.1235,0.0738
87,IFVAE,50,0.0001,279,SGD,0.1235,0.0738
88,IFVAE,50,0.0001,289,SGD,0.1235,0.0739
89,IFVAE,50,0.0001,299,SGD,0.1235,0.0739
90,IFVAE,50,0.0001,9,RMSProp,0.1255,0.0748
91,IFVAE,50,0.0001,19,RMSProp,0.1355,0.081
92,IFVAE,50,0.0001,29,RMSProp,0.1434,0.0858
93,IFVAE,50,0.0001,39,RMSProp,0.1472,0.0881
94,IFVAE,50,0.0001,49,RMSProp,0.1515,0.0899
