,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,Unnamed: 0,metric
0,PLRec,50,1,10000.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.1198, 0.0042]","[0.1161, 0.0037]","[0.1132, 0.0033]","[0.1248, 0.0053]","[0.102, 0.0024]","[0.1704, 0.0034]","[0.1116, 0.0033]","[0.1068, 0.0029]","[0.1032, 0.0026]","[0.1197, 0.0044]","[0.0879, 0.0019]","[0.0953, 0.0025]","[0.0719, 0.0029]","[0.1016, 0.0035]","[0.1279, 0.004]","[0.0401, 0.0021]","[0.2479, 0.0054]",4.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,BPR,200,1,1e-05,30,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1163, 0.0042]","[0.1133, 0.0037]","[0.1107, 0.0033]","[0.1204, 0.0052]","[0.1006, 0.0025]","[0.168, 0.0034]","[0.1095, 0.0034]","[0.1051, 0.0029]","[0.1016, 0.0026]","[0.1162, 0.0044]","[0.0883, 0.0019]","[0.0943, 0.0025]","[0.0692, 0.0028]","[0.0971, 0.0033]","[0.1228, 0.0038]","[0.038, 0.002]","[0.244, 0.0052]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,NCE-PLRec,100,1,10000.0,10,Cosine,0.0,1.1,"[5, 10, 15, 20, 50]","[0.125, 0.0044]","[0.1212, 0.0039]","[0.1181, 0.0035]","[0.131, 0.0055]","[0.1059, 0.0026]","[0.179, 0.0036]","[0.117, 0.0035]","[0.1115, 0.003]","[0.1071, 0.0027]","[0.1248, 0.0046]","[0.0907, 0.0019]","[0.0991, 0.0026]","[0.0775, 0.0031]","[0.1082, 0.0038]","[0.1358, 0.0042]","[0.0424, 0.0022]","[0.2609, 0.0056]",67.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,CML,200,1,0.1,30,Euclidean,0.0,,"[5, 10, 15, 20, 50]","[0.1298, 0.0046]","[0.1257, 0.004]","[0.1225, 0.0037]","[0.1352, 0.0056]","[0.1098, 0.0028]","[0.1766, 0.0035]","[0.1213, 0.0037]","[0.1155, 0.0032]","[0.1113, 0.0029]","[0.1298, 0.0048]","[0.0942, 0.0021]","[0.0993, 0.0026]","[0.0716, 0.0028]","[0.0997, 0.0034]","[0.127, 0.0039]","[0.0398, 0.002]","[0.2533, 0.0053]",14.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,PureSVD,50,1,1.0,10,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1161, 0.0041]","[0.1126, 0.0036]","[0.1098, 0.0032]","[0.1212, 0.0052]","[0.0987, 0.0024]","[0.1644, 0.0033]","[0.1079, 0.0032]","[0.104, 0.0028]","[0.0998, 0.0025]","[0.116, 0.0043]","[0.0852, 0.0018]","[0.092, 0.0024]","[0.0693, 0.0028]","[0.0983, 0.0035]","[0.123, 0.0038]","[0.0383, 0.002]","[0.2383, 0.0052]",0.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,CDAE,200,1,1e-05,300,Cosine,0.5,,"[5, 10, 15, 20, 50]","[0.1235, 0.0045]","[0.119, 0.004]","[0.1155, 0.0037]","[0.1298, 0.0056]","[0.1032, 0.0028]","[0.159, 0.0034]","[0.1138, 0.0037]","[0.1076, 0.0032]","[0.1032, 0.0029]","[0.1235, 0.0047]","[0.0892, 0.0021]","[0.0941, 0.0025]","[0.0615, 0.0024]","[0.0854, 0.0029]","[0.1078, 0.0033]","[0.0353, 0.0018]","[0.218, 0.0047]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,WRMF,200,10,100.0,10,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1193, 0.0043]","[0.1164, 0.0037]","[0.114, 0.0034]","[0.1235, 0.0053]","[0.1039, 0.0025]","[0.1788, 0.0036]","[0.1129, 0.0034]","[0.1096, 0.003]","[0.1053, 0.0027]","[0.1198, 0.0045]","[0.091, 0.002]","[0.097, 0.0026]","[0.0749, 0.003]","[0.1073, 0.0037]","[0.1344, 0.0042]","[0.0411, 0.0022]","[0.2668, 0.0058]",37.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,VAE-CF,200,1,1e-05,300,Cosine,0.5,,"[5, 10, 15, 20, 50]","[0.109, 0.004]","[0.1066, 0.0035]","[0.1047, 0.0032]","[0.1128, 0.005]","[0.0965, 0.0024]","[0.162, 0.0034]","[0.1032, 0.0032]","[0.1003, 0.0028]","[0.0979, 0.0026]","[0.1095, 0.0042]","[0.0859, 0.0019]","[0.0919, 0.0025]","[0.0645, 0.0026]","[0.0911, 0.0032]","[0.1152, 0.0036]","[0.0358, 0.0019]","[0.236, 0.0051]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,IFVAE,50,1,0.0001,300,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1263, 0.0045]","[0.1222, 0.0039]","[0.1188, 0.0036]","[0.1319, 0.0055]","[0.1064, 0.0026]","[0.1711, 0.0034]","[0.1179, 0.0036]","[0.1118, 0.0031]","[0.1071, 0.0028]","[0.1264, 0.0047]","[0.0915, 0.002]","[0.0984, 0.0026]","[0.0706, 0.0028]","[0.0978, 0.0033]","[0.1223, 0.0037]","[0.0392, 0.002]","[0.2428, 0.0052]",1.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
0,AutoRec,200,1,1e-05,300,Cosine,0.0,,"[5, 10, 15, 20, 50]","[0.1193, 0.0043]","[0.1154, 0.0037]","[0.1124, 0.0034]","[0.1243, 0.0053]","[0.1011, 0.0025]","[0.1669, 0.0034]","[0.1108, 0.0034]","[0.1053, 0.003]","[0.1022, 0.0027]","[0.1182, 0.0045]","[0.0876, 0.002]","[0.0942, 0.0025]","[0.0682, 0.0027]","[0.0951, 0.0033]","[0.1215, 0.0038]","[0.0371, 0.0019]","[0.2398, 0.0052]",10.0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
