,model,rank,alpha,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,lambda
0,VAE-CF,50,1,,,"[0.1628, 0.0036]","[0.0839, 0.0028]","[0.0798, 0.0024]","[0.0773, 0.0021]","[0.0875, 0.0037]","[0.0682, 0.0015]","[0.0813, 0.0026]","[0.0719, 0.003]","[0.0994, 0.0035]","[0.127, 0.004]","[0.0392, 0.0022]","[0.2624, 0.0057]",1e-05
1,VAE-CF,50,1,,,"[0.1638, 0.0036]","[0.0846, 0.0029]","[0.0811, 0.0025]","[0.079, 0.0022]","[0.0878, 0.0037]","[0.0686, 0.0015]","[0.0819, 0.0026]","[0.0725, 0.003]","[0.1006, 0.0036]","[0.1293, 0.0041]","[0.0402, 0.0022]","[0.2633, 0.0057]",0.0001
2,VAE-CF,50,1,,,"[0.1606, 0.0036]","[0.0824, 0.0028]","[0.0803, 0.0024]","[0.0778, 0.0022]","[0.0853, 0.0037]","[0.0679, 0.0015]","[0.0809, 0.0026]","[0.0702, 0.0029]","[0.0989, 0.0035]","[0.126, 0.004]","[0.0376, 0.0021]","[0.2584, 0.0056]",0.001
3,VAE-CF,50,1,,,"[0.1585, 0.0036]","[0.0818, 0.0028]","[0.0795, 0.0025]","[0.0774, 0.0022]","[0.086, 0.0037]","[0.0676, 0.0016]","[0.0804, 0.0026]","[0.0677, 0.0029]","[0.0955, 0.0034]","[0.1222, 0.0039]","[0.0371, 0.0021]","[0.2521, 0.0055]",0.01
4,VAE-CF,50,1,,,"[0.1495, 0.0034]","[0.0823, 0.0029]","[0.0796, 0.0025]","[0.0768, 0.0023]","[0.0859, 0.0038]","[0.0661, 0.0016]","[0.0791, 0.0025]","[0.0624, 0.0027]","[0.0885, 0.0032]","[0.1113, 0.0036]","[0.034, 0.002]","[0.2302, 0.0051]",0.1
5,VAE-CF,100,1,,,"[0.1669, 0.0037]","[0.0814, 0.0027]","[0.0791, 0.0023]","[0.0778, 0.0021]","[0.0845, 0.0036]","[0.0684, 0.0015]","[0.083, 0.0027]","[0.0742, 0.0031]","[0.1042, 0.0037]","[0.1335, 0.0042]","[0.041, 0.0023]","[0.2711, 0.0058]",1e-05
6,VAE-CF,100,1,,,"[0.1671, 0.0037]","[0.0821, 0.0028]","[0.0789, 0.0023]","[0.0771, 0.0021]","[0.0852, 0.0036]","[0.0684, 0.0015]","[0.0828, 0.0027]","[0.0748, 0.0031]","[0.104, 0.0037]","[0.1325, 0.0042]","[0.041, 0.0023]","[0.2713, 0.0059]",0.0001
7,VAE-CF,100,1,,,"[0.1661, 0.0037]","[0.0821, 0.0027]","[0.0796, 0.0023]","[0.0779, 0.0021]","[0.0839, 0.0035]","[0.0685, 0.0015]","[0.0822, 0.0026]","[0.0733, 0.003]","[0.1034, 0.0036]","[0.1312, 0.0041]","[0.0401, 0.0023]","[0.2691, 0.0058]",0.001
8,VAE-CF,100,1,,,"[0.1607, 0.0036]","[0.081, 0.0028]","[0.0791, 0.0024]","[0.0771, 0.0021]","[0.0848, 0.0036]","[0.0675, 0.0015]","[0.0812, 0.0026]","[0.0697, 0.0029]","[0.098, 0.0035]","[0.1253, 0.004]","[0.0385, 0.0022]","[0.2575, 0.0056]",0.01
9,VAE-CF,100,1,,,"[0.1505, 0.0034]","[0.0827, 0.0029]","[0.0796, 0.0025]","[0.0766, 0.0023]","[0.0868, 0.0038]","[0.0664, 0.0016]","[0.0794, 0.0025]","[0.0623, 0.0027]","[0.0886, 0.0032]","[0.112, 0.0036]","[0.0346, 0.002]","[0.232, 0.0051]",0.1
10,VAE-CF,200,1,,,"[0.1706, 0.0037]","[0.0815, 0.0027]","[0.0796, 0.0023]","[0.0774, 0.002]","[0.0851, 0.0035]","[0.0692, 0.0014]","[0.0843, 0.0027]","[0.076, 0.0031]","[0.107, 0.0038]","[0.1372, 0.0043]","[0.0423, 0.0023]","[0.2801, 0.006]",1e-05
11,VAE-CF,200,1,,,"[0.1699, 0.0037]","[0.0824, 0.0027]","[0.0796, 0.0023]","[0.0774, 0.002]","[0.0853, 0.0036]","[0.0687, 0.0014]","[0.0843, 0.0027]","[0.0769, 0.0032]","[0.1078, 0.0038]","[0.1372, 0.0043]","[0.0424, 0.0023]","[0.2786, 0.0059]",0.0001
12,VAE-CF,200,1,,,"[0.1683, 0.0037]","[0.0817, 0.0027]","[0.079, 0.0023]","[0.0779, 0.0021]","[0.083, 0.0035]","[0.0684, 0.0014]","[0.0837, 0.0027]","[0.0749, 0.0031]","[0.1052, 0.0037]","[0.1353, 0.0042]","[0.0412, 0.0023]","[0.275, 0.0059]",0.001
13,VAE-CF,200,1,,,"[0.1624, 0.0036]","[0.0808, 0.0027]","[0.0778, 0.0023]","[0.0765, 0.0021]","[0.083, 0.0035]","[0.0679, 0.0015]","[0.0818, 0.0026]","[0.0704, 0.0029]","[0.0986, 0.0035]","[0.1263, 0.004]","[0.0385, 0.0022]","[0.2619, 0.0057]",0.01
14,VAE-CF,200,1,,,"[0.1503, 0.0034]","[0.0821, 0.0029]","[0.0794, 0.0025]","[0.0765, 0.0023]","[0.0865, 0.0037]","[0.0661, 0.0016]","[0.0791, 0.0025]","[0.0625, 0.0027]","[0.0889, 0.0032]","[0.1122, 0.0036]","[0.0352, 0.002]","[0.2314, 0.0051]",0.1
