,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CDAE,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.1588, 0.0009]","[0.0893, 0.0007]","[0.0838, 0.0006]","[0.0791, 0.0005]","[0.0957, 0.0009]","[0.0623, 0.0004]","[0.0801, 0.0006]","[0.0843, 0.0008]","[0.1161, 0.001]","[0.1416, 0.0011]","[0.0457, 0.0006]","[0.251, 0.0014]"
1,CDAE,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.1296, 0.0008]","[0.0767, 0.0006]","[0.0718, 0.0006]","[0.0665, 0.0005]","[0.0832, 0.0008]","[0.0507, 0.0004]","[0.0681, 0.0006]","[0.069, 0.0007]","[0.0982, 0.0008]","[0.1175, 0.0009]","[0.0384, 0.0005]","[0.198, 0.0012]"
2,CDAE,50,1,0.001,300,Cosine,0.2,1.0,,"[0.1287, 0.0008]","[0.075, 0.0006]","[0.0706, 0.0005]","[0.0663, 0.0005]","[0.0835, 0.0008]","[0.0508, 0.0004]","[0.0661, 0.0006]","[0.067, 0.0007]","[0.095, 0.0008]","[0.1173, 0.0009]","[0.0391, 0.0005]","[0.1995, 0.0012]"
3,CDAE,50,1,0.01,300,Cosine,0.2,1.0,,"[0.1306, 0.0008]","[0.0755, 0.0006]","[0.0717, 0.0006]","[0.0668, 0.0005]","[0.083, 0.0008]","[0.051, 0.0004]","[0.068, 0.0006]","[0.0671, 0.0007]","[0.0989, 0.0009]","[0.1196, 0.0009]","[0.0388, 0.0005]","[0.1989, 0.0012]"
4,CDAE,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1319, 0.0008]","[0.0756, 0.0006]","[0.0709, 0.0006]","[0.0673, 0.0005]","[0.0854, 0.0008]","[0.051, 0.0004]","[0.0702, 0.0006]","[0.0722, 0.0007]","[0.0973, 0.0008]","[0.1227, 0.001]","[0.0431, 0.0005]","[0.1995, 0.0012]"
5,CDAE,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.1584, 0.0009]","[0.0888, 0.0007]","[0.0837, 0.0006]","[0.0787, 0.0005]","[0.0954, 0.0009]","[0.0623, 0.0004]","[0.0795, 0.0006]","[0.0835, 0.0008]","[0.1163, 0.001]","[0.141, 0.0011]","[0.0454, 0.0006]","[0.2508, 0.0014]"
6,CDAE,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.1274, 0.0008]","[0.0752, 0.0006]","[0.0704, 0.0006]","[0.0668, 0.0005]","[0.082, 0.0008]","[0.0505, 0.0004]","[0.0653, 0.0005]","[0.0676, 0.0007]","[0.0941, 0.0008]","[0.1182, 0.0009]","[0.0373, 0.0005]","[0.1969, 0.0012]"
7,CDAE,100,1,0.001,300,Cosine,0.2,1.0,,"[0.1255, 0.0008]","[0.0721, 0.0006]","[0.0687, 0.0005]","[0.0647, 0.0005]","[0.08, 0.0008]","[0.05, 0.0003]","[0.0624, 0.0005]","[0.062, 0.0006]","[0.0917, 0.0008]","[0.1124, 0.0009]","[0.0352, 0.0005]","[0.1969, 0.0012]"
8,CDAE,100,1,0.01,300,Cosine,0.2,1.0,,"[0.1273, 0.0008]","[0.0752, 0.0006]","[0.0702, 0.0005]","[0.0669, 0.0005]","[0.0831, 0.0008]","[0.0506, 0.0004]","[0.0657, 0.0006]","[0.0678, 0.0007]","[0.0947, 0.0008]","[0.1207, 0.001]","[0.0391, 0.0005]","[0.1985, 0.0012]"
9,CDAE,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1319, 0.0008]","[0.0756, 0.0006]","[0.0709, 0.0006]","[0.0673, 0.0005]","[0.0854, 0.0008]","[0.051, 0.0004]","[0.0702, 0.0006]","[0.0722, 0.0007]","[0.0973, 0.0008]","[0.1227, 0.001]","[0.0431, 0.0005]","[0.1995, 0.0012]"
10,CDAE,200,1,1e-05,300,Cosine,0.2,1.0,,"[0.1576, 0.0009]","[0.0887, 0.0007]","[0.0838, 0.0006]","[0.079, 0.0005]","[0.0946, 0.0009]","[0.0622, 0.0004]","[0.0788, 0.0006]","[0.0831, 0.0008]","[0.1165, 0.001]","[0.1414, 0.0011]","[0.0443, 0.0006]","[0.25, 0.0014]"
11,CDAE,200,1,0.0001,300,Cosine,0.2,1.0,,"[0.1262, 0.0008]","[0.0744, 0.0006]","[0.0687, 0.0005]","[0.0647, 0.0005]","[0.0814, 0.0008]","[0.0502, 0.0003]","[0.0639, 0.0005]","[0.0651, 0.0006]","[0.0904, 0.0008]","[0.1114, 0.0009]","[0.0368, 0.0005]","[0.197, 0.0012]"
12,CDAE,200,1,0.001,300,Cosine,0.2,1.0,,"[0.1243, 0.0008]","[0.0708, 0.0006]","[0.0671, 0.0005]","[0.0628, 0.0005]","[0.078, 0.0008]","[0.0496, 0.0003]","[0.0624, 0.0005]","[0.061, 0.0006]","[0.087, 0.0008]","[0.1058, 0.0008]","[0.035, 0.0005]","[0.1963, 0.0012]"
13,CDAE,200,1,0.01,300,Cosine,0.2,1.0,,"[0.125, 0.0008]","[0.0724, 0.0006]","[0.0683, 0.0005]","[0.0646, 0.0005]","[0.0769, 0.0008]","[0.0502, 0.0003]","[0.062, 0.0005]","[0.0619, 0.0006]","[0.0897, 0.0008]","[0.111, 0.0009]","[0.0322, 0.0004]","[0.1966, 0.0012]"
