model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IFVAE,50,1,0.001,300,Cosine,0,1.0,,"[0.1989, 0.001]","[0.1044, 0.0007]","[0.0976, 0.0006]","[0.0925, 0.0006]","[0.1149, 0.001]","[0.074, 0.0004]","[0.0974, 0.0007]","[0.1044, 0.0009]","[0.142, 0.0011]","[0.1754, 0.0012]","[0.0603, 0.0007]","[0.3235, 0.0016]"
IFVAE,50,1,0.01,300,Cosine,0,1.0,,"[0.1888, 0.001]","[0.1013, 0.0007]","[0.0944, 0.0006]","[0.0889, 0.0006]","[0.1117, 0.0009]","[0.0707, 0.0004]","[0.0944, 0.0007]","[0.0997, 0.0009]","[0.135, 0.001]","[0.1643, 0.0012]","[0.0577, 0.0007]","[0.3018, 0.0015]"
IFVAE,50,1,0.1,300,Cosine,0,1.0,,"[0.1502, 0.0009]","[0.0853, 0.0007]","[0.0786, 0.0006]","[0.0732, 0.0005]","[0.0961, 0.0009]","[0.0585, 0.0004]","[0.0789, 0.0006]","[0.0806, 0.0008]","[0.1078, 0.0009]","[0.1296, 0.001]","[0.0488, 0.0006]","[0.2351, 0.0014]"
IFVAE,100,1,0.001,300,Cosine,0,1.0,,"[0.2054, 0.0009]","[0.1082, 0.0007]","[0.1013, 0.0006]","[0.0961, 0.0006]","[0.1185, 0.001]","[0.0762, 0.0004]","[0.0993, 0.0007]","[0.1093, 0.0009]","[0.1499, 0.0011]","[0.1864, 0.0012]","[0.062, 0.0007]","[0.3361, 0.0016]"
IFVAE,100,1,0.01,300,Cosine,0,1.0,,"[0.1974, 0.001]","[0.1044, 0.0007]","[0.0974, 0.0006]","[0.0918, 0.0006]","[0.1148, 0.001]","[0.0735, 0.0004]","[0.0972, 0.0007]","[0.1036, 0.0009]","[0.1407, 0.0011]","[0.172, 0.0012]","[0.0597, 0.0007]","[0.3186, 0.0016]"
IFVAE,100,1,0.1,300,Cosine,0,1.0,,"[0.1492, 0.0009]","[0.085, 0.0007]","[0.0782, 0.0006]","[0.0732, 0.0005]","[0.0956, 0.0009]","[0.058, 0.0004]","[0.0788, 0.0006]","[0.0801, 0.0008]","[0.1062, 0.0009]","[0.1297, 0.001]","[0.0482, 0.0006]","[0.233, 0.0013]"
IFVAE,200,1,0.001,300,Cosine,0,1.0,,"[0.2069, 0.0009]","[0.1063, 0.0007]","[0.1011, 0.0006]","[0.0967, 0.0006]","[0.1134, 0.0009]","[0.0771, 0.0004]","[0.0964, 0.0007]","[0.1084, 0.0009]","[0.1531, 0.0011]","[0.1929, 0.0013]","[0.0586, 0.0006]","[0.347, 0.0016]"
IFVAE,200,1,0.01,300,Cosine,0,1.0,,"[0.2036, 0.0009]","[0.106, 0.0007]","[0.0995, 0.0006]","[0.0948, 0.0006]","[0.1156, 0.0009]","[0.0756, 0.0004]","[0.0992, 0.0007]","[0.1077, 0.0009]","[0.1475, 0.0011]","[0.1839, 0.0012]","[0.0618, 0.0007]","[0.334, 0.0016]"
IFVAE,200,1,0.1,300,Cosine,0,1.0,,"[0.1486, 0.0009]","[0.0849, 0.0007]","[0.0783, 0.0006]","[0.0733, 0.0005]","[0.0952, 0.0009]","[0.058, 0.0004]","[0.0782, 0.0006]","[0.079, 0.0008]","[0.1062, 0.0009]","[0.1295, 0.001]","[0.0474, 0.0006]","[0.2316, 0.0013]"
IFVAE,50,1,1e-06,300,Cosine,0,1.0,,"[0.2006, 0.001]","[0.1051, 0.0007]","[0.0985, 0.0006]","[0.0931, 0.0006]","[0.1152, 0.0009]","[0.0746, 0.0004]","[0.0976, 0.0007]","[0.1053, 0.0009]","[0.1441, 0.0011]","[0.1777, 0.0012]","[0.0604, 0.0007]","[0.3274, 0.0016]"
