,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,VAE-CF,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.2033, 0.0009]","[0.1002, 0.0007]","[0.0955, 0.0006]","[0.0919, 0.0005]","[0.106, 0.0009]","[0.0755, 0.0004]","[0.0915, 0.0006]","[0.1041, 0.0009]","[0.1466, 0.0011]","[0.1855, 0.0012]","[0.0561, 0.0006]","[0.3513, 0.0016]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.19, 0.0009]","[0.0939, 0.0007]","[0.0898, 0.0006]","[0.0868, 0.0005]","[0.1009, 0.0009]","[0.0721, 0.0004]","[0.0855, 0.0006]","[0.0934, 0.0009]","[0.1319, 0.001]","[0.1682, 0.0012]","[0.0513, 0.0006]","[0.3257, 0.0016]"
2,VAE-CF,50,1,0.001,300,Cosine,0.2,1.0,,"[0.2017, 0.0009]","[0.0993, 0.0007]","[0.0949, 0.0006]","[0.0912, 0.0005]","[0.1061, 0.0009]","[0.0755, 0.0004]","[0.0912, 0.0007]","[0.1025, 0.0009]","[0.1439, 0.0011]","[0.1812, 0.0012]","[0.056, 0.0006]","[0.3451, 0.0016]"
3,VAE-CF,50,1,0.01,300,Cosine,0.2,1.0,,"[0.2034, 0.0009]","[0.1006, 0.0007]","[0.0965, 0.0006]","[0.093, 0.0005]","[0.1067, 0.0009]","[0.0771, 0.0004]","[0.0921, 0.0007]","[0.1015, 0.0009]","[0.1432, 0.0011]","[0.1815, 0.0012]","[0.055, 0.0006]","[0.3473, 0.0016]"
4,VAE-CF,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1814, 0.0009]","[0.096, 0.0007]","[0.0901, 0.0006]","[0.0856, 0.0006]","[0.1043, 0.0009]","[0.0709, 0.0004]","[0.0879, 0.0007]","[0.0932, 0.0009]","[0.1261, 0.001]","[0.1545, 0.0011]","[0.0529, 0.0006]","[0.2956, 0.0015]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.2019, 0.0009]","[0.0975, 0.0007]","[0.0932, 0.0006]","[0.0897, 0.0005]","[0.1028, 0.0008]","[0.0743, 0.0004]","[0.0904, 0.0006]","[0.1043, 0.0009]","[0.1468, 0.0011]","[0.1853, 0.0012]","[0.0563, 0.0006]","[0.3503, 0.0016]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.1955, 0.0009]","[0.0978, 0.0007]","[0.0931, 0.0006]","[0.0892, 0.0005]","[0.1054, 0.0009]","[0.0734, 0.0004]","[0.0891, 0.0007]","[0.0983, 0.0009]","[0.1378, 0.0011]","[0.1735, 0.0012]","[0.0545, 0.0006]","[0.3328, 0.0016]"
7,VAE-CF,100,1,0.001,300,Cosine,0.2,1.0,,"[0.2062, 0.0009]","[0.1008, 0.0007]","[0.0964, 0.0006]","[0.0929, 0.0005]","[0.1074, 0.0009]","[0.0766, 0.0004]","[0.0937, 0.0007]","[0.1051, 0.0009]","[0.1481, 0.0011]","[0.1874, 0.0012]","[0.0576, 0.0007]","[0.3531, 0.0016]"
8,VAE-CF,100,1,0.01,300,Cosine,0.2,1.0,,"[0.2052, 0.0009]","[0.1007, 0.0007]","[0.0966, 0.0006]","[0.0932, 0.0005]","[0.1069, 0.0009]","[0.0775, 0.0004]","[0.0928, 0.0007]","[0.1024, 0.0009]","[0.1448, 0.0011]","[0.1837, 0.0012]","[0.0556, 0.0006]","[0.3517, 0.0016]"
9,VAE-CF,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1809, 0.0009]","[0.0962, 0.0007]","[0.0902, 0.0006]","[0.0856, 0.0006]","[0.1041, 0.0009]","[0.0708, 0.0004]","[0.0875, 0.0007]","[0.0937, 0.0009]","[0.1268, 0.001]","[0.1551, 0.0011]","[0.0526, 0.0006]","[0.2947, 0.0015]"
