,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,IFVAE,50,1,1e-05,300,Cosine,0,1.0,,"[0.151, 0.0004]","[0.0994, 0.0004]","[0.0941, 0.0003]","[0.0899, 0.0003]","[0.1086, 0.0005]","[0.0736, 0.0002]","[0.0804, 0.0003]","[0.0701, 0.0004]","[0.0977, 0.0005]","[0.1223, 0.0005]","[0.0399, 0.0003]","[0.2281, 0.0007]"
1,IFVAE,50,1,0.0001,300,Cosine,0,1.0,,"[0.1507, 0.0004]","[0.1001, 0.0004]","[0.0944, 0.0003]","[0.09, 0.0003]","[0.1099, 0.0005]","[0.0736, 0.0002]","[0.08, 0.0003]","[0.07, 0.0004]","[0.0974, 0.0005]","[0.1219, 0.0005]","[0.0397, 0.0003]","[0.2279, 0.0007]"
2,IFVAE,50,1,0.001,300,Cosine,0,1.0,,"[0.1492, 0.0004]","[0.0989, 0.0004]","[0.0936, 0.0003]","[0.0892, 0.0003]","[0.1077, 0.0005]","[0.0728, 0.0002]","[0.0793, 0.0003]","[0.0693, 0.0004]","[0.0968, 0.0005]","[0.1209, 0.0005]","[0.0389, 0.0003]","[0.2253, 0.0007]"
3,IFVAE,50,1,0.01,300,Cosine,0,1.0,,"[0.1419, 0.0004]","[0.096, 0.0004]","[0.0909, 0.0003]","[0.0866, 0.0003]","[0.1042, 0.0005]","[0.0708, 0.0002]","[0.0753, 0.0003]","[0.0658, 0.0004]","[0.0919, 0.0004]","[0.1144, 0.0005]","[0.036, 0.0003]","[0.214, 0.0006]"
4,IFVAE,50,1,0.1,300,Cosine,0,1.0,,"[0.1179, 0.0003]","[0.0853, 0.0003]","[0.0796, 0.0003]","[0.0753, 0.0003]","[0.0895, 0.0004]","[0.0621, 0.0002]","[0.0645, 0.0003]","[0.0547, 0.0003]","[0.0747, 0.0004]","[0.0924, 0.0004]","[0.0289, 0.0002]","[0.18, 0.0006]"
5,IFVAE,100,1,1e-05,300,Cosine,0,1.0,,"[0.1632, 0.0004]","[0.1069, 0.0004]","[0.1006, 0.0003]","[0.0957, 0.0003]","[0.1176, 0.0005]","[0.0773, 0.0002]","[0.0872, 0.0003]","[0.0787, 0.0004]","[0.1085, 0.0005]","[0.135, 0.0005]","[0.0456, 0.0003]","[0.2472, 0.0007]"
6,IFVAE,100,1,0.0001,300,Cosine,0,1.0,,"[0.1613, 0.0004]","[0.1048, 0.0004]","[0.0988, 0.0003]","[0.0943, 0.0003]","[0.1148, 0.0005]","[0.0764, 0.0002]","[0.0861, 0.0003]","[0.0773, 0.0004]","[0.1066, 0.0005]","[0.1334, 0.0005]","[0.0447, 0.0003]","[0.245, 0.0007]"
7,IFVAE,100,1,0.001,300,Cosine,0,1.0,,"[0.1597, 0.0004]","[0.1039, 0.0004]","[0.0982, 0.0003]","[0.0936, 0.0003]","[0.1131, 0.0005]","[0.076, 0.0002]","[0.0853, 0.0003]","[0.0765, 0.0004]","[0.106, 0.0005]","[0.132, 0.0005]","[0.0437, 0.0003]","[0.2426, 0.0007]"
8,IFVAE,100,1,0.01,300,Cosine,0,1.0,,"[0.1489, 0.0004]","[0.0988, 0.0004]","[0.0935, 0.0003]","[0.0891, 0.0003]","[0.1069, 0.0005]","[0.0727, 0.0002]","[0.0789, 0.0003]","[0.0701, 0.0004]","[0.0979, 0.0005]","[0.122, 0.0005]","[0.0389, 0.0003]","[0.2271, 0.0007]"
9,IFVAE,100,1,0.1,300,Cosine,0,1.0,,"[0.1184, 0.0004]","[0.0849, 0.0003]","[0.0792, 0.0003]","[0.0747, 0.0003]","[0.0898, 0.0004]","[0.0611, 0.0002]","[0.0642, 0.0003]","[0.0558, 0.0003]","[0.077, 0.0004]","[0.095, 0.0005]","[0.03, 0.0002]","[0.1821, 0.0006]"
