,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,IFVAE,50,1,1e-05,300,Cosine,0,1.0,,"[0.0864, 0.0003]","[0.0517, 0.0002]","[0.048, 0.0002]","[0.0462, 0.0002]","[0.0499, 0.0003]","[0.0457, 0.0002]","[0.0451, 0.0002]","[0.0397, 0.0003]","[0.0528, 0.0003]","[0.0667, 0.0004]","[0.0214, 0.0002]","[0.1443, 0.0005]"
1,IFVAE,50,1,0.0001,300,Cosine,0,1.0,,"[0.0868, 0.0003]","[0.0504, 0.0002]","[0.0473, 0.0002]","[0.0459, 0.0002]","[0.0531, 0.0003]","[0.0459, 0.0002]","[0.0454, 0.0002]","[0.0388, 0.0003]","[0.053, 0.0003]","[0.0659, 0.0004]","[0.0216, 0.0002]","[0.1441, 0.0005]"
2,IFVAE,50,1,0.001,300,Cosine,0,1.0,,"[0.1526, 0.0004]","[0.0989, 0.0004]","[0.0943, 0.0003]","[0.0902, 0.0003]","[0.1072, 0.0005]","[0.0742, 0.0002]","[0.0806, 0.0003]","[0.0712, 0.0004]","[0.1004, 0.0005]","[0.1258, 0.0005]","[0.0404, 0.0003]","[0.2346, 0.0007]"
3,IFVAE,50,1,0.01,300,Cosine,0,1.0,,"[0.0867, 0.0003]","[0.0445, 0.0002]","[0.0446, 0.0002]","[0.0447, 0.0002]","[0.0451, 0.0003]","[0.0451, 0.0002]","[0.0436, 0.0002]","[0.04, 0.0003]","[0.0547, 0.0004]","[0.0691, 0.0004]","[0.0202, 0.0002]","[0.1457, 0.0006]"
4,IFVAE,50,1,0.1,300,Cosine,0,1.0,,"[0.0889, 0.0003]","[0.0502, 0.0002]","[0.0481, 0.0002]","[0.0484, 0.0002]","[0.0527, 0.0003]","[0.0468, 0.0002]","[0.046, 0.0002]","[0.0388, 0.0003]","[0.0541, 0.0004]","[0.0687, 0.0004]","[0.0208, 0.0002]","[0.1463, 0.0005]"
5,IFVAE,100,1,1e-05,300,Cosine,0,1.0,,"[0.0885, 0.0003]","[0.0622, 0.0003]","[0.0597, 0.0003]","[0.0569, 0.0002]","[0.0631, 0.0004]","[0.0494, 0.0002]","[0.0476, 0.0002]","[0.0364, 0.0003]","[0.0512, 0.0003]","[0.0636, 0.0003]","[0.0205, 0.0002]","[0.14, 0.0005]"
6,IFVAE,100,1,0.0001,300,Cosine,0,1.0,,"[0.0863, 0.0003]","[0.0497, 0.0002]","[0.046, 0.0002]","[0.045, 0.0002]","[0.0531, 0.0003]","[0.0437, 0.0001]","[0.0454, 0.0002]","[0.0378, 0.0003]","[0.0534, 0.0003]","[0.0694, 0.0004]","[0.0222, 0.0002]","[0.1438, 0.0006]"
7,IFVAE,100,1,0.001,300,Cosine,0,1.0,,"[0.0847, 0.0003]","[0.0482, 0.0002]","[0.0456, 0.0002]","[0.0448, 0.0002]","[0.0521, 0.0003]","[0.0429, 0.0001]","[0.0438, 0.0002]","[0.0389, 0.0003]","[0.0529, 0.0003]","[0.0684, 0.0004]","[0.0217, 0.0002]","[0.1424, 0.0006]"
8,IFVAE,100,1,0.01,300,Cosine,0,1.0,,"[0.0845, 0.0003]","[0.045, 0.0002]","[0.044, 0.0002]","[0.0436, 0.0002]","[0.0464, 0.0003]","[0.0424, 0.0001]","[0.043, 0.0002]","[0.0394, 0.0003]","[0.0548, 0.0004]","[0.0676, 0.0004]","[0.0205, 0.0002]","[0.1431, 0.0006]"
9,IFVAE,100,1,0.1,300,Cosine,0,1.0,,"[0.0877, 0.0003]","[0.0493, 0.0002]","[0.0473, 0.0002]","[0.0466, 0.0002]","[0.0483, 0.0003]","[0.0463, 0.0002]","[0.0452, 0.0002]","[0.0393, 0.0003]","[0.0543, 0.0004]","[0.0682, 0.0004]","[0.0201, 0.0002]","[0.1446, 0.0005]"
10,IFVAE,200,1,1e-05,300,Cosine,0,1.0,,"[0.1618, 0.0004]","[0.1051, 0.0004]","[0.0982, 0.0003]","[0.0934, 0.0003]","[0.1171, 0.0005]","[0.076, 0.0002]","[0.0867, 0.0003]","[0.0795, 0.0004]","[0.1079, 0.0005]","[0.1336, 0.0005]","[0.0466, 0.0003]","[0.2438, 0.0007]"
