,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,IFVAE,50,1,1e-05,300,Cosine,0,1.0,,"[0.2261, 0.0007]","[0.0817, 0.0003]","[0.0731, 0.0003]","[0.0672, 0.0003]","[0.0962, 0.0005]","[0.0462, 0.0002]","[0.0938, 0.0005]","[0.1684, 0.0008]","[0.2208, 0.0009]","[0.2652, 0.001]","[0.1033, 0.0007]","[0.4289, 0.0011]"
1,IFVAE,50,1,0.0001,300,Cosine,0,1.0,,"[0.2196, 0.0007]","[0.0794, 0.0003]","[0.0708, 0.0003]","[0.065, 0.0002]","[0.0928, 0.0005]","[0.0449, 0.0002]","[0.0902, 0.0005]","[0.1641, 0.0008]","[0.2134, 0.0009]","[0.258, 0.001]","[0.0992, 0.0006]","[0.4191, 0.0011]"
2,IFVAE,50,1,0.001,300,Cosine,0,1.0,,"[0.2071, 0.0006]","[0.0726, 0.0003]","[0.0659, 0.0003]","[0.0608, 0.0002]","[0.0854, 0.0004]","[0.0427, 0.0002]","[0.0831, 0.0005]","[0.1508, 0.0008]","[0.2002, 0.0009]","[0.2409, 0.0009]","[0.0933, 0.0006]","[0.401, 0.0011]"
3,IFVAE,50,1,0.01,300,Cosine,0,1.0,,"[0.1653, 0.0006]","[0.0556, 0.0003]","[0.0502, 0.0002]","[0.0459, 0.0002]","[0.0633, 0.0004]","[0.0347, 0.0001]","[0.0618, 0.0004]","[0.1183, 0.0007]","[0.1552, 0.0008]","[0.1866, 0.0009]","[0.0687, 0.0006]","[0.3401, 0.001]"
4,IFVAE,50,1,0.1,300,Cosine,0,1.0,,"[0.1576, 0.0005]","[0.0511, 0.0003]","[0.0455, 0.0002]","[0.0423, 0.0002]","[0.0551, 0.0003]","[0.0323, 0.0001]","[0.0569, 0.0004]","[0.1138, 0.0007]","[0.1505, 0.0008]","[0.1795, 0.0008]","[0.0671, 0.0006]","[0.3292, 0.001]"
5,IFVAE,100,1,1e-05,300,Cosine,0,1.0,,"[0.2748, 0.0007]","[0.1009, 0.0004]","[0.0891, 0.0003]","[0.0803, 0.0003]","[0.1209, 0.0005]","[0.0532, 0.0002]","[0.1216, 0.0006]","[0.2165, 0.0009]","[0.2778, 0.001]","[0.3266, 0.001]","[0.1371, 0.0007]","[0.507, 0.0011]"
6,IFVAE,100,1,0.0001,300,Cosine,0,1.0,,"[0.2633, 0.0007]","[0.0958, 0.0004]","[0.0849, 0.0003]","[0.0766, 0.0003]","[0.1141, 0.0005]","[0.0512, 0.0002]","[0.1146, 0.0006]","[0.2061, 0.0009]","[0.2663, 0.001]","[0.3121, 0.001]","[0.1295, 0.0007]","[0.4891, 0.0011]"
7,IFVAE,100,1,0.001,300,Cosine,0,1.0,,"[0.2266, 0.0006]","[0.0805, 0.0003]","[0.0717, 0.0003]","[0.0653, 0.0002]","[0.0936, 0.0005]","[0.0456, 0.0002]","[0.0918, 0.0005]","[0.1729, 0.0008]","[0.2244, 0.0009]","[0.2667, 0.001]","[0.1035, 0.0007]","[0.4405, 0.0011]"
8,IFVAE,100,1,0.01,300,Cosine,0,1.0,,"[0.1616, 0.0005]","[0.0509, 0.0003]","[0.0459, 0.0002]","[0.0425, 0.0002]","[0.0615, 0.0004]","[0.0335, 0.0001]","[0.0598, 0.0004]","[0.111, 0.0007]","[0.1481, 0.0008]","[0.1808, 0.0008]","[0.07, 0.0006]","[0.3354, 0.001]"
9,IFVAE,100,1,0.1,300,Cosine,0,1.0,,"[0.1596, 0.0005]","[0.0508, 0.0003]","[0.0466, 0.0002]","[0.0433, 0.0002]","[0.0593, 0.0004]","[0.0327, 0.0001]","[0.0576, 0.0004]","[0.1149, 0.0007]","[0.1503, 0.0008]","[0.1835, 0.0009]","[0.0707, 0.0006]","[0.3314, 0.001]"
10,IFVAE,200,1,1e-05,300,Cosine,0,1.0,,"[0.3007, 0.0007]","[0.1127, 0.0004]","[0.0989, 0.0003]","[0.0886, 0.0003]","[0.133, 0.0005]","[0.0573, 0.0002]","[0.1344, 0.0006]","[0.248, 0.001]","[0.3157, 0.001]","[0.3677, 0.0011]","[0.1555, 0.0008]","[0.5496, 0.0011]"
11,IFVAE,200,1,0.0001,300,Cosine,0,1.0,,"[0.293, 0.0007]","[0.1091, 0.0004]","[0.0959, 0.0003]","[0.0859, 0.0003]","[0.1293, 0.0005]","[0.0557, 0.0002]","[0.1305, 0.0006]","[0.2396, 0.0009]","[0.306, 0.001]","[0.3571, 0.0011]","[0.1503, 0.0008]","[0.5371, 0.0011]"
12,IFVAE,200,1,0.001,300,Cosine,0,1.0,,"[0.2268, 0.0007]","[0.0803, 0.0003]","[0.0717, 0.0003]","[0.0654, 0.0002]","[0.0931, 0.0005]","[0.0456, 0.0002]","[0.0921, 0.0005]","[0.1728, 0.0008]","[0.2257, 0.0009]","[0.2678, 0.001]","[0.103, 0.0007]","[0.4394, 0.0011]"
13,IFVAE,200,1,0.01,300,Cosine,0,1.0,,"[0.1604, 0.0005]","[0.0525, 0.0003]","[0.0467, 0.0002]","[0.0431, 0.0002]","[0.0617, 0.0004]","[0.0327, 0.0001]","[0.0599, 0.0004]","[0.1168, 0.0007]","[0.1503, 0.0008]","[0.1818, 0.0008]","[0.0702, 0.0006]","[0.3306, 0.001]"
14,IFVAE,200,1,0.1,300,Cosine,0,1.0,,"[0.1547, 0.0005]","[0.0492, 0.0002]","[0.0436, 0.0002]","[0.0405, 0.0002]","[0.0543, 0.0003]","[0.0318, 0.0001]","[0.0551, 0.0004]","[0.1137, 0.0007]","[0.1456, 0.0008]","[0.1766, 0.0008]","[0.065, 0.0006]","[0.3242, 0.001]"
